State,HousingUnitsMedianValue,Year
New York,279100,2014
North Carolina,155000,2014
North Dakota,161800,2014
Ohio,129100,2014
Oklahoma,119800,2014
Oregon,239800,2014
Pennsylvania,165400,2014
Puerto Rico,120800,2014
Rhode Island,236000,2014
South Carolina,140000,2014
South Dakota,142300,2014
Tennessee,142900,2014
Texas,139600,2014
Utah,223200,2014
Vermont,214600,2014
Virginia,247800,2014
Washington,266200,2014
West Virginia,103900,2014
Wisconsin,164700,2014
Wyoming,201000,2014
All,198787,2014
Alabama,134100,2015
Alaska,259600,2015
Arizona,194300,2015
Arkansas,120700,2015
California,449100,2015
Colorado,283800,2015
Connecticut,270900,2015
Delaware,240200,2015
District of Columbia,551300,2015
Florida,179800,2015
Georgia,159300,2015
Hawaii,566900,2015
Idaho,176300,2015
Illinois,180300,2015
Indiana,131000,2015
Iowa,136100,2015
Kansas,141200,2015
Kentucky,130000,2015
Louisiana,155600,2015
Maine,180300,2015
Maryland,299800,2015
Massachusetts,352100,2015
Michigan,137500,2015
Minnesota,200000,2015
Mississippi,112700,2015
Missouri,147800,2015
Montana,209500,2015
Nebraska,141600,2015
Nevada,221400,2015
New Hampshire,244500,2015
New Jersey,322600,2015
New Mexico,164100,2015
New York,293500,2015
North Carolina,160100,2015
North Dakota,180900,2015
Ohio,136400,2015
Oklahoma,126800,2015
Oregon,264100,2015
Pennsylvania,170600,2015
Puerto Rico,114100,2015
Rhode Island,241000,2015
South Carolina,148600,2015
South Dakota,152800,2015
Tennessee,150600,2015
Texas,152000,2015
Utah,234600,2015
Vermont,223700,2015
Virginia,257800,2015
Washington,284000,2015
West Virginia,112100,2015
Wisconsin,168300,2015
Wyoming,212500,2015
All,211133,2015
Alabama,136200,2016
Alaska,267800,2016
Arizona,205900,2016
Arkansas,123300,2016
California,477500,2016
Colorado,314200,2016
Connecticut,274600,2016
Delaware,243400,2016
District of Columbia,576100,2016
Florida,197700,2016
Georgia,166800,2016
Hawaii,592000,2016
Idaho,189400,2016
Illinois,186500,2016
Indiana,134800,2016
Iowa,142300,2016
Kansas,144900,2016
Kentucky,135600,2016
Louisiana,158000,2016
Maine,184700,2016
Maryland,306900,2016
Massachusetts,366900,2016
Michigan,147100,2016
Minnesota,211800,2016
Mississippi,113900,2016
Missouri,151400,2016
Montana,217200,2016
Nebraska,148100,2016
Nevada,239500,2016
New Hampshire,251100,2016
New Jersey,328200,2016
New Mexico,167500,2016
New York,302400,2016
North Carolina,165400,2016
North Dakota,184100,2016
Ohio,140100,2016
Oklahoma,132200,2016
Oregon,287100,2016
Pennsylvania,174100,2016
Puerto Rico,111900,2016
Rhode Island,247700,2016
South Carolina,153900,2016
South Dakota,160700,2016
Tennessee,157700,2016
Texas,161500,2016
Utah,250300,2016
Vermont,223700,2016
Virginia,264000,2016
Washington,306400,2016
West Virginia,117900,2016
Wisconsin,173200,2016
Wyoming,209500,2016
All,219713,2016
Alabama,141300,2017
Alaska,273100,2017
Arizona,223400,2017
Arkansas,128500,2017
California,509400,2017
Colorado,348900,2017
Connecticut,273100,2017
Delaware,252800,2017
District of Columbia,607200,2017
Florida,214000,2017
Georgia,173700,2017
Hawaii,617400,2017
Idaho,207100,2017
Illinois,195300,2017
Indiana,141100,2017
Iowa,149100,2017
Kansas,150600,2017
Kentucky,141000,2017
Louisiana,162500,2017
Maine,191200,2017
Maryland,312500,2017
Massachusetts,385400,2017
Michigan,155700,2017
Minnesota,224000,2017
Mississippi,120200,2017
Missouri,156700,2017
Montana,231300,2017
Nebraska,155800,2017
Nevada,258200,2017
New Hampshire,263600,2017
New Jersey,334900,2017
New Mexico,171300,2017
New York,314500,2017
North Carolina,171200,2017
North Dakota,194700,2017
Ohio,144200,2017
Oklahoma,137400,2017
Oregon,319200,2017
Pennsylvania,181200,2017
Puerto Rico,109800,2017
Rhode Island,257800,2017
South Carolina,161800,2017
South Dakota,167600,2017
Tennessee,167500,2017
Texas,172200,2017
Utah,275100,2017
Vermont,226300,2017
Virginia,273400,2017
Washington,339000,2017
West Virginia,119800,2017
Wisconsin,178900,2017
Wyoming,214300,2017
All,230696,2017
Alabama,147900,2018
Alaska,276100,2018
Arizona,241100,2018
Arkansas,133100,2018
California,546800,2018
Colorado,373300,2018
Connecticut,277400,2018
Delaware,255300,2018
District of Columbia,617900,2018
Florida,230600,2018
Georgia,189900,2018
Hawaii,631700,2018
Idaho,233100,2018
Illinois,203400,2018
Indiana,147300,2018
Iowa,152000,2018
Kansas,159400,2018
Kentucky,148100,2018
Louisiana,167300,2018
Maine,197500,2018
Maryland,324800,2018
Massachusetts,400700,2018
Michigan,162500,2018
Minnesota,235400,2018
Mississippi,123300,2018
Missouri,162600,2018
Montana,249200,2018
Nebraska,161800,2018
Nevada,292200,2018
New Hampshire,270000,2018
New Jersey,344000,2018
New Mexico,174700,2018
New York,325500,2018
North Carolina,180600,2018
North Dakota,198700,2018
Ohio,151100,2018
Oklahoma,140000,2018
Oregon,341800,2018
Pennsylvania,186000,2018
Puerto Rico,110800,2018
Rhode Island,273800,2018
South Carolina,170800,2018
South Dakota,171500,2018
Tennessee,177500,2018
Texas,186000,2018
Utah,303300,2018
Vermont,233100,2018
Virginia,281700,2018
Washington,373100,2018
West Virginia,121300,2018
Wisconsin,188500,2018
Wyoming,230500,2018
All,241846,2018
