id,Geographic Area,Owner-Occupied Housing Units Median value (dollars),Margin of Error (dollars),Year
0400000US39,Ohio,127600,866,2012
0400000US40,Oklahoma,114300,994,2012
0400000US41,Oregon,223900,2254,2012
0400000US42,Pennsylvania,163800,675,2012
0400000US44,Rhode Island,234600,3631,2012
0400000US45,South Carolina,135500,1730,2012
0400000US46,South Dakota,134300,2382,2012
0400000US47,Tennessee,137800,1283,2012
0400000US48,Texas,129200,823,2012
0400000US49,Utah,199700,2397,2012
0400000US50,Vermont,216900,3518,2012
0400000US51,Virginia,237800,1751,2012
0400000US53,Washington,243000,1500,2012
0400000US54,West Virginia,100400,2185,2012
0400000US55,Wisconsin,165200,738,2012
0400000US56,Wyoming,187400,4259,2012
0400000US72,Puerto Rico,127300,1500,2012
0400000US01,Alabama,123200,1482,2012
0400000US02,Alaska,245100,4271,2012
0400000US04,Arizona,151500,1314,2012
0400000US05,Arkansas,107600,1606,2012
0400000US01,Alabama,122700,1437,2013
0400000US02,Alaska,254000,5594,2013
0400000US04,Arizona,166000,1245,2013
0400000US05,Arkansas,109500,1726,2013
0400000US06,California,373100,1591,2013
0400000US08,Colorado,240500,1603,2013
0400000US09,Connecticut,267000,2517,2013
0400000US10,Delaware,226200,3792,2013
0400000US11,District of Columbia,470500,13384,2013
0400000US12,Florida,153300,1013,2013
0400000US13,Georgia,141600,1369,2013
0400000US15,Hawaii,500000,10229,2013
0400000US16,Idaho,159000,1976,2013
0400000US17,Illinois,169600,914,2013
0400000US18,Indiana,122200,844,2013
0400000US19,Iowa,126900,1683,2013
0400000US20,Kansas,129700,1972,2013
0400000US21,Kentucky,120900,1347,2013
0400000US22,Louisiana,140300,1877,2013
0400000US23,Maine,172800,2245,2013
0400000US24,Maryland,280200,2070,2013
0400000US25,Massachusetts,327200,1700,2013
0400000US26,Michigan,117500,793,2013
0400000US27,Minnesota,180100,1331,2013
0400000US28,Mississippi,97500,2025,2013
0400000US29,Missouri,133200,1313,2013
0400000US30,Montana,190100,3443,2013
0400000US31,Nebraska,132700,1497,2013
0400000US32,Nevada,165300,1527,2013
0400000US33,New Hampshire,233300,3012,2013
0400000US34,New Jersey,307700,2087,2013
0400000US35,New Mexico,159200,1877,2013
0400000US36,New York,277600,1908,2013
0400000US37,North Carolina,154300,1116,2013
0400000US38,North Dakota,155400,2593,2013
0400000US39,Ohio,127000,878,2013
0400000US40,Oklahoma,116500,1221,2013
0400000US41,Oregon,229700,2186,2013
0400000US42,Pennsylvania,164200,823,2013
0400000US44,Rhode Island,232300,4094,2013
0400000US45,South Carolina,139200,1810,2013
0400000US46,South Dakota,138400,3031,2013
0400000US47,Tennessee,140300,1110,2013
0400000US48,Texas,132000,792,2013
0400000US49,Utah,211400,1997,2013
0400000US50,Vermont,218300,3848,2013
0400000US51,Virginia,239300,1767,2013
0400000US53,Washington,250800,2352,2013
0400000US54,West Virginia,103200,2095,2013
0400000US55,Wisconsin,163000,793,2013
0400000US56,Wyoming,195500,3744,2013
0400000US72,Puerto Rico,119900,1459,2013
0400000US01,Alabama,125600,1718,2014
0400000US02,Alaska,254500,4774,2014
0400000US04,Arizona,176700,2036,2014
0400000US05,Arkansas,112500,1982,2014
0400000US06,California,412700,1992,2014
0400000US08,Colorado,255200,2352,2014
0400000US09,Connecticut,267200,2016,2014
0400000US10,Delaware,230500,3577,2014
0400000US11,District of Columbia,486900,12472,2014
0400000US12,Florida,162700,754,2014
0400000US13,Georgia,147900,1494,2014
0400000US15,Hawaii,528000,10067,2014
0400000US16,Idaho,165300,2540,2014
0400000US17,Illinois,171900,972,2014
0400000US18,Indiana,124300,1009,2014
0400000US19,Iowa,133100,1384,2014
0400000US20,Kansas,132100,1769,2014
0400000US21,Kentucky,123800,1330,2014
0400000US22,Louisiana,143600,2156,2014
0400000US23,Maine,174800,2435,2014
0400000US24,Maryland,288500,2240,2014
0400000US25,Massachusetts,338900,2119,2014
0400000US26,Michigan,125700,894,2014
0400000US27,Minnesota,188300,1282,2014
0400000US28,Mississippi,104000,2187,2014
0400000US29,Missouri,138500,1302,2014
0400000US30,Montana,196800,3816,2014
0400000US31,Nebraska,133800,1527,2014
0400000US32,Nevada,192100,2623,2014
0400000US33,New Hampshire,236400,2748,2014
0400000US34,New Jersey,313200,1585,2014
0400000US35,New Mexico,158400,2032,2014
0400000US36,New York,279100,2124,2014
0400000US37,North Carolina,155000,1084,2014
0400000US38,North Dakota,161800,3570,2014
0400000US39,Ohio,129100,911,2014
0400000US40,Oklahoma,119800,1015,2014
0400000US41,Oregon,239800,2300,2014
0400000US42,Pennsylvania,165400,729,2014
0400000US44,Rhode Island,236000,4052,2014
0400000US45,South Carolina,140000,1690,2014
0400000US46,South Dakota,142300,3253,2014
0400000US47,Tennessee,142900,1253,2014
0400000US48,Texas,139600,821,2014
0400000US49,Utah,223200,1922,2014
0400000US50,Vermont,214600,3387,2014
0400000US51,Virginia,247800,1893,2014
0400000US53,Washington,266200,2017,2014
0400000US54,West Virginia,103900,2236,2014
0400000US55,Wisconsin,164700,714,2014
0400000US56,Wyoming,201000,5507,2014
0400000US72,Puerto Rico,120800,1298,2014
0400000US01,Alabama,134100,1954,2015
0400000US02,Alaska,259600,5619,2015
0400000US04,Arizona,194300,1518,2015
0400000US05,Arkansas,120700,1544,2015
0400000US06,California,449100,1441,2015
0400000US08,Colorado,283800,2168,2015
0400000US09,Connecticut,270900,2053,2015
0400000US10,Delaware,240200,3936,2015
0400000US11,District of Columbia,551300,20660,2015
0400000US12,Florida,179800,1270,2015
0400000US13,Georgia,159300,1021,2015
0400000US15,Hawaii,566900,8903,2015
0400000US16,Idaho,176300,2572,2015
0400000US17,Illinois,180300,1228,2015
0400000US18,Indiana,131000,967,2015
0400000US19,Iowa,136100,1245,2015
0400000US20,Kansas,141200,1556,2015
0400000US21,Kentucky,130000,1285,2015
0400000US22,Louisiana,155600,1445,2015
0400000US23,Maine,180300,3031,2015
0400000US24,Maryland,299800,2083,2015
0400000US25,Massachusetts,352100,2202,2015
0400000US26,Michigan,137500,796,2015
0400000US27,Minnesota,200000,1224,2015
0400000US28,Mississippi,112700,1963,2015
0400000US29,Missouri,147800,1270,2015
0400000US30,Montana,209500,3739,2015
0400000US31,Nebraska,141600,1690,2015
0400000US32,Nevada,221400,2226,2015
0400000US33,New Hampshire,244500,3056,2015
0400000US34,New Jersey,322600,1769,2015
0400000US35,New Mexico,164100,2119,2015
0400000US36,New York,293500,2405,2015
0400000US37,North Carolina,160100,1031,2015
0400000US38,North Dakota,180900,3683,2015
0400000US39,Ohio,136400,838,2015
0400000US40,Oklahoma,126800,1492,2015
0400000US41,Oregon,264100,2568,2015
0400000US42,Pennsylvania,170600,718,2015
0400000US44,Rhode Island,241000,3947,2015
0400000US45,South Carolina,148600,1745,2015
0400000US46,South Dakota,152800,2490,2015
0400000US47,Tennessee,150600,1195,2015
0400000US48,Texas,152000,782,2015
0400000US49,Utah,234600,1959,2015
0400000US50,Vermont,223700,4508,2015
0400000US51,Virginia,257800,2248,2015
0400000US53,Washington,284000,1701,2015
0400000US54,West Virginia,112100,1903,2015
0400000US55,Wisconsin,168300,807,2015
0400000US56,Wyoming,212500,3739,2015
0400000US72,Puerto Rico,114100,1119,2015
0400000US12,Florida,197700,1318,2016
0400000US13,Georgia,166800,1113,2016
0400000US15,Hawaii,592000,8539,2016
0400000US16,Idaho,189400,3057,2016
0400000US17,Illinois,186500,1417,2016
0400000US18,Indiana,134800,990,2016
0400000US19,Iowa,142300,1521,2016
0400000US20,Kansas,144900,1865,2016
0400000US21,Kentucky,135600,1429,2016
0400000US22,Louisiana,158000,1441,2016
0400000US23,Maine,184700,3005,2016
0400000US24,Maryland,306900,2670,2016
0400000US25,Massachusetts,366900,2249,2016
0400000US26,Michigan,147100,933,2016
0400000US27,Minnesota,211800,1337,2016
0400000US28,Mississippi,113900,2115,2016
0400000US29,Missouri,151400,1188,2016
0400000US30,Montana,217200,3862,2016
0400000US31,Nebraska,148100,1675,2016
0400000US32,Nevada,239500,2206,2016
0400000US33,New Hampshire,251100,3471,2016
0400000US34,New Jersey,328200,2191,2016
0400000US35,New Mexico,167500,2143,2016
0400000US36,New York,302400,2460,2016
